,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
settings_apotheosis_cat_immortality_name,Cat immortality,Бессмертие кошек,,,,,,,猫咪不会死亡,ネコの当たり判定無効化,,,,
settings_apotheosis_cat_immortality_desc,Are cats immortal?,Являются ли кошки бессмертными?,,,,,,,猫咪是否不会死亡？,オンにすると、ネコが無敵になります。,,,,
settings_apotheosis_fairy_immortality_name,Fairy immortality,Бессмертие фей,,,,,,,精灵不会死亡,妖精の当たり判定無効化,,,,
settings_apotheosis_fairy_immortality_desc,Are Keiju immortal?,Являются ли Кейдзю бессмертными?,,,,,,,精灵是否不会死亡？,オンにすると、妖精が無敵になります。,,,,
settings_apotheosis_motd_setting_name,Message of the Day,Сообщение дня,,,,,,,每日消息,今日のひとこと,,,,
settings_apotheosis_motd_setting_desc,Will a MOTD be displayed at the start of each run?,Будет ли сообщение дня отображаться в начале каждого забега?,,,,,,,每局游戏开始前是否显示每日信息？,オンにすると、ゲーム開始時にヒントが表示されるようになります。,,,,
settings_apotheosis_seasonal_events_name,Seasonal Events,Сезонные праздники,,,,,,,节日事件,季節イベント,,,,
settings_apotheosis_seasonal_events_desc,"Are seasonal events enabled? \nFor example, Halloween, Apotheosis's Birthday, etc.","Включены ли сезонные праздники? \nНапример, Хэллоуин, день рождения мода Apotheosis и т.д.",,,,,,,"是否启用节日事件？\n例如万圣节，Apotheosis（译者注：本模组前身）的生日，等等",季節イベントを有効にしますか？\nハロウィンやMODのリリース記念日など、追加イベントがたくさん！,,,,
settings_apotheosis_boss_health_multiplier_name,Boss Health Multiplier,Множитель здоровья босса,,,,,,,Boss 血量倍数,ボスのHP増加,,,,
settings_apotheosis_boss_health_multiplier_formatting, $0% HP, $0% ОЗ,,,,,,, $0% HP, $0% HP,,,,
settings_apotheosis_boss_health_multiplier_desc,Multiply all Bosses health by this much.\nFor those who seek extra durable opponents.\nMinibosses will also have their health boosted by a partial amount.,,,,,,,,将所有 Boss 的血量乘以此值。\n适合那些需要 Boss 更耐打的玩家。\n不影响三眼的血量。\n小 Boss 的血量也会得到部分提升。,"ボスのHPに倍率補正をかける上級者向けの設定です。\nコルミシルマには効果がありません。\nまた、ピットボスなどの中ボスにも一定程度効果が適用されます。\nプレイ中に設定を変更することも可能ですが、変更時はゲームを再起動してください。\nなお、ワークショップの対応MOD欄に記載されていないMODのボスには効果が適用されません。\nMOD製作者の方へ:適用させるためには専用のスクリプトが必要です。",,,,
settings_apotheosis_custom_seed_name,Set Custom Seed,Установить пользовательское семя,,,,,,,设定自定义种子,カスタムシードの設定,,,,
settings_apotheosis_custom_seed_desc,"Set a custom seed for the run. \nFor example: 0948274926, or hardcore",Установить пользовательское семя для забега. \nНапример: 0948274926 или hardcore,,,,,,,为这次游戏设定自定义种子\n例如：0948274926，或者hardcore,指定したシード値でゲームを開始します。また、「hardcore」と入力すると、特殊なモードに入ることができます。,,,,,
settings_apotheosis_organised_icons_name,Organise Icons,Упорядочить значки,,,,,,,图标归类,進捗画面での表示順変更,,,,
settings_apotheosis_organised_icons_desc,"Will Spells & Perks be organised with the vanilla perk list? \n \nFor example, if this is enabled, an immunity related perk will appear next to other \nimmunity perks in the progress log rather than at the bottom of the perk list. \nThe same applies to spells and creature icons.","Умножает здоровье всех боссов на это количество. \nДля тех, кто ищет особо стойких противников. \nНе влияет на Колмисильмяна \nМини-боссы также будут иметь частичное увеличение здоровья. \nЭто можно изменить в середине игры, но не для всех боссов, \n не забудьте перезапустить игру после обновления множителя.\n \nДля создателей модов: \nЕсли ваш мод не указан в разделе совместимости на странице \n модов, это скорее всего не поможет, вам придётся добавить \n lua-компонент кода к вашим боссам. \nНе стесняйтесь обращаться ко мне за инструкциями или \n помощью, если это необходимо.",,,,,,,法术和天赋是否与原版的法术和天赋放在一起? \n\n例如，如果启用该选项，在天赋图鉴中，\n免疫类天赋将排在其他免疫类天赋旁边，而不是在整个天赋列表的最后面。\n法术和生物图标同理。,オンにすると、進捗画面での追加スペル・パークの表示順が変更されます。,,,,
settings_apotheosis_seasonal_forced_name,Forced Seasonal Events,Запустить сезонные праздники,,,,,,,强制视为节日期间,季節イベント,,,,
settings_apotheosis_seasonal_forced_desc,A list of Seasonal Events which can be forced,"Список сезонных праздников, которые можно принудительно запустить",,,,,,,可强制视为正在发生的节日事件列表,指定した季節イベントを発生させることができる設定です。,,,,
settings_apotheosis_seasonal_forced_april_fools_name,Forced April Fools,Запустить день смеха,,,,,,,强制视为愚人节,エイプリルフール,,,,
settings_apotheosis_seasonal_forced_april_fools_desc,Is the April Fools holiday forcefully enabled?,Включен ли принудительно праздник дурака?,,,,,,,是否强制视为愚人节期间？,エイプリルフールのイベント,,,,
